Strategy,Variability,Conflict_Score,Risk_Score
Scrambled_prompt,0.0,0.8181818181818182,0.4090909090909091
Negative_prompt,0.4974937185533099,0.28181818181818186,0.3896559501857459
Positive_Extra_role,0.47696960070847283,0.2,0.33848480035423645
Positive_prompt,0.47696960070847283,0.2,0.33848480035423645
Uncertainty_prompt,0.47696960070847283,0.2,0.33848480035423645
Random_mistake,0.4,0.2590909090909091,0.3295454545454546
Chain_of_thoughts,0.45825756949558394,0.19545454545454544,0.3268560574750647
Tipping,0.4330127018922193,0.2,0.3165063509461097
Sceptical_role,0.4330127018922193,0.19090909090909092,0.3119608964006551
Prompt,0.4,0.1954545454545455,0.29772727272727273
High_stakes,0.4,0.1954545454545455,0.29772727272727273
Negative_Extra_role,0.3570714214271425,0.13636363636363635,0.24671752889538942
