,Prompt,Negative_prompt,Positive_prompt,Positive_Extra_role,Negative_Extra_role,Uncertainty_prompt,Scrambled_prompt,Chain_of_thoughts,Sceptical_role,High_stakes,Tipping,Random_mistake,Flag
0,1,1,1,1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,0,0,1,0,1,1,1,0
2,1,1,0,1,1,1,0,1,1,0,1,0,1
3,1,0,1,0,1,0,0,1,0,1,1,0,0
4,1,0,1,0,0,0,0,1,0,1,0,0,0
5,1,1,1,1,1,0,0,1,1,1,0,0,1
6,1,0,1,1,0,1,0,1,0,0,1,1,0
7,1,1,1,1,1,1,0,1,1,1,1,1,1
8,1,1,1,1,1,1,0,1,0,1,1,1,0
9,1,0,1,1,1,0,0,1,0,0,1,0,1
10,1,0,1,0,0,0,0,0,0,0,1,0,0
11,1,1,1,1,0,1,0,1,0,1,1,1,1
12,1,1,1,0,1,0,0,1,0,1,1,0,1
13,1,0,1,1,1,0,0,1,0,1,1,0,0
14,1,0,1,1,1,0,0,0,0,1,1,0,1
15,1,1,0,1,0,1,0,0,0,0,0,0,0
16,1,1,0,1,1,0,0,1,0,0,1,0,1
17,1,1,1,1,1,0,0,1,1,1,1,1,1
18,1,1,1,1,1,1,0,1,0,1,1,0,0
19,1,0,0,1,1,1,0,1,0,1,1,0,1
20,1,0,1,1,1,0,0,0,0,0,1,0,1
21,1,1,0,1,1,1,0,1,0,1,1,0,0
22,1,1,0,1,0,0,0,1,0,0,1,0,1
23,1,0,0,0,0,0,0,1,0,0,0,0,0
24,1,1,1,1,1,1,0,1,0,1,1,1,1
25,1,0,0,0,1,0,0,0,0,0,1,0,0
26,1,1,0,0,0,0,0,1,0,0,0,0,1
27,1,0,1,1,1,0,0,1,0,1,1,0,0
28,1,0,1,1,1,1,0,1,1,1,1,0,1
29,0,0,1,0,0,0,0,0,0,0,1,0,0
30,1,1,1,1,1,1,0,1,0,1,1,0,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,1,0,1,0,1,0,1,1,0,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,1,1,1,0,1,0,1,0,1,1,1,1
35,1,0,0,0,0,0,0,0,0,0,0,1,0
36,1,0,1,0,1,0,0,1,0,0,0,0,1
37,1,0,1,1,0,0,0,0,0,1,1,0,0
38,1,0,1,1,1,0,0,1,0,0,1,0,1
39,1,0,1,0,0,0,0,0,0,0,1,0,0
40,1,1,1,1,1,1,0,1,0,1,1,0,0
41,1,0,1,1,1,1,0,1,0,1,1,0,1
42,1,1,0,1,1,1,0,1,0,1,0,0,1
43,1,0,1,0,1,1,0,1,0,0,1,1,0
44,1,1,1,1,1,1,0,1,1,1,1,1,0
45,1,0,0,1,1,0,0,0,1,1,1,0,0
46,1,1,0,0,0,1,0,0,0,1,1,0,1
47,1,1,1,1,1,1,0,1,0,1,1,0,0
48,1,1,1,1,1,1,0,1,1,1,1,1,0
49,1,1,1,1,0,1,0,1,1,0,1,0,0
50,1,0,1,0,0,0,0,1,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,0,1,0,0
52,1,1,1,0,1,0,0,0,0,0,1,0,1
53,1,1,0,0,1,0,0,1,0,1,1,0,0
54,1,1,0,1,0,0,0,1,0,1,0,0,0
55,1,1,1,1,0,0,0,1,0,1,1,0,1
56,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,1,1,1,0,0,0,0,1,1,1
58,1,0,0,1,1,0,0,0,0,0,1,0,1
59,1,0,1,1,1,0,0,1,0,0,1,0,0
